cluster,number of voxels,number of voxels (%),structure 773,structure 136,structure 970,structure 939,structure 1098,structure 235,structure 143,structure 978,structure 1107,structure 852,structure 661,structure 307,structure 1048
0,261,17.81569965870307,0,100,0,3,46,1,1,12,72,5,0,7,14
1,127,8.668941979522184,2,10,9,0,0,0,0,28,5,17,22,5,29
2,311,21.22866894197952,25,55,7,3,0,0,4,47,21,58,9,37,45
3,193,13.174061433447099,0,51,2,0,0,0,0,0,3,20,4,0,113
4,228,15.563139931740613,21,92,12,0,11,0,2,5,8,66,0,5,6
5,345,23.549488054607508,0,43,0,0,0,0,0,23,17,30,63,36,133
