cluster,number of voxels,number of voxels (%),structure 773,structure 136,structure 970,structure 939,structure 1098,structure 235,structure 143,structure 978,structure 1107,structure 852,structure 661,structure 307,structure 1048
0,125,8.532423208191126,7,57,0,0,11,0,0,0,4,46,0,0,0
1,123,8.395904436860068,2,9,10,0,0,0,0,25,6,16,21,5,29
2,176,12.013651877133105,0,48,2,0,0,0,0,0,2,20,4,0,100
3,296,20.204778156996586,0,41,0,0,0,0,0,14,10,22,52,25,132
4,343,23.41296928327645,0,140,0,4,46,1,3,21,66,33,0,10,19
5,287,19.590443686006825,0,40,0,2,0,0,4,42,33,55,21,44,46
6,15,1.023890784982935,12,0,3,0,0,0,0,0,0,0,0,0,0
7,100,6.825938566552901,27,16,15,0,0,0,0,13,5,4,0,6,14
