cluster,number of voxels,number of voxels (%),structure 773,structure 136,structure 970,structure 1098,structure 939,structure 235,structure 143,structure 978,structure 1107,structure 852,structure 661,structure 307,structure 1048
0,443,30.23890784982935,21,190,10,50,4,1,3,18,45,74,0,8,19
1,415,28.327645051194537,1,52,2,0,0,0,0,32,19,41,78,35,155
2,404,27.57679180887372,26,58,14,7,2,0,4,60,59,60,14,46,54
3,203,13.85665529010239,0,51,4,0,0,0,0,5,3,21,6,1,112
