voxel_number,cluster_4,cluster_6,cluster_8,cluster_13,X,Y,Z,Chat-252
1423,0,4,0,8,53,28,37,0.012529138
1425,2,2,4,4,62,29,37,0.028789682
1426,3,3,2,2,63,29,37,0.015478985
1429,3,3,5,10,63,30,37,0.016660105
1431,0,0,6,6,53,31,37,0.010222344
1432,1,5,5,5,54,31,37,0.018089214
1435,3,4,2,11,59,31,37,0.014113127
1437,3,3,2,10,63,31,37,0.016456058
1438,3,3,2,10,53,32,37,0.015919952
1439,1,1,1,1,54,32,37,0.022557301
1440,3,3,2,10,59,32,37,0.016050294
1441,2,1,3,3,62,32,37,0.023853684
1442,3,3,2,10,63,32,37,0.016457167
1443,1,1,1,1,54,33,37,0.021766864
1446,3,4,2,11,59,33,37,0.013972141
1447,3,3,2,2,62,33,37,0.014994036
1448,0,0,6,12,63,33,37,0.010926807
1451,3,4,2,11,54,34,37,0.01397324
1452,3,3,2,10,55,34,37,0.016035693
1453,3,3,2,2,58,34,37,0.015139488
1463,0,4,0,8,62,33,38,0.012970295
1464,1,5,5,9,53,25,39,0.018978873
