cluster,number of voxels,number of voxels (%),structure 773,structure 136,structure 970,structure 939,structure 1098,structure 235,structure 143,structure 978,structure 1107,structure 852,structure 661,structure 307,structure 1048
0,189,12.901023890784982,0,77,0,0,52,1,0,0,58,0,0,0,1
1,272,18.56655290102389,1,14,0,0,0,0,1,24,0,16,54,58,104
2,304,20.75085324232082,19,60,17,2,0,0,3,26,40,60,5,10,62
3,286,19.522184300341298,0,76,6,0,0,0,0,0,11,29,13,0,151
4,319,21.774744027303754,27,121,7,4,5,0,3,19,16,83,0,13,21
5,95,6.484641638225256,1,3,0,0,0,0,0,46,1,8,26,9,1
