cluster,number of voxels,number of voxels (%),structure 773,structure 136,structure 970,structure 1098,structure 939,structure 235,structure 143,structure 978,structure 1107,structure 852,structure 661,structure 307,structure 1048
0,742,50.648464163822524,8,153,7,43,2,0,4,71,65,100,56,70,163
1,311,21.22866894197952,0,72,8,0,0,0,0,7,9,43,40,2,130
2,13,0.8873720136518772,8,0,5,0,0,0,0,0,0,0,0,0,0
3,399,27.235494880546074,32,126,10,14,4,1,3,37,52,53,2,18,47
