cluster,number of voxels,number of voxels (%),structure 773,structure 136,structure 1098,structure 970,structure 235,structure 939,structure 143,structure 978,structure 1107,structure 852,structure 661,structure 307,structure 1048
0,499,34.06143344709898,7,109,36,6,0,2,3,53,55,64,27,51,86
1,157,10.716723549488055,0,44,0,5,0,0,0,3,3,20,12,0,70
2,10,0.6825938566552902,8,0,0,2,0,0,0,0,0,0,0,0,0
3,69,4.709897610921502,15,20,3,9,1,0,1,6,1,5,0,0,8
4,337,23.003412969283275,18,107,11,4,0,4,2,31,51,50,2,18,39
5,393,26.825938566552903,0,71,7,4,0,0,1,22,16,57,57,21,137
