cluster_4,cluster_6,cluster_8,cluster_13,Gas6-72008122
3,4,7,7,0.087690346
0,0,7,0,0.08093289
3,4,3,11,0.10412371
3,4,3,3,0.09617542
0,5,0,8,0.07192947
0,0,0,0,0.0786325
0,5,4,4,0.06512712
3,3,6,11,0.1073707
0,0,0,0,0.07690744
1,5,4,4,0.06373435
0,5,0,8,0.07178383
0,0,7,0,0.082881026
1,5,4,10,0.056605745
1,1,1,1,0.048350234
3,4,7,3,0.091660574
3,4,3,3,0.097133376
3,4,7,7,0.08874957
0,0,7,0,0.0810543
0,5,4,4,0.067210115
0,0,0,8,0.0749712
0,5,0,8,0.07148104
0,0,0,0,0.076968834
0,0,0,0,0.08029927
0,0,0,8,0.07335556
1,1,1,1,0.049217667
1,1,1,12,0.037410513
1,1,1,12,0.029830031
1,1,1,1,0.04865308
1,5,4,10,0.058032874
1,5,4,10,0.06190957
1,5,4,10,0.061191496
0,0,0,8,0.07417462
3,4,7,7,0.09093288
0,0,7,0,0.08267123
0,0,0,0,0.07853921
0,0,7,0,0.08328662
0,0,0,0,0.07866168
1,1,1,1,0.046464853
1,1,1,12,0.03468242
1,1,1,12,0.030939287
1,1,1,12,0.030976728
1,1,1,1,0.048052307
1,5,4,10,0.06021471
0,5,0,4,0.06951249
3,4,7,7,0.088904075
3,4,3,3,0.099290565
0,4,7,7,0.086471945
0,0,0,0,0.08010997
3,4,7,7,0.08715442
1,1,1,1,0.050858464
1,1,1,12,0.041623373
1,1,1,1,0.043969154
1,1,1,12,0.038293503
1,5,4,10,0.061074562
0,0,0,0,0.07999023
3,4,7,7,0.08681664
3,4,3,11,0.10388041
3,4,7,7,0.0877539
0,0,7,7,0.08397443
3,4,7,7,0.08706984
1,5,4,10,0.0563561
1,5,4,10,0.059098285
1,1,1,1,0.051014367
0,0,0,8,0.073400475
3,4,7,7,0.08948893
3,4,3,3,0.09382389
3,4,3,11,0.10190539
3,3,6,11,0.10915691
3,4,7,7,0.090851605
0,0,7,7,0.08483117
3,4,7,7,0.088113874
0,0,0,8,0.07344593
