cluster_4,cluster_6,cluster_8,cluster_13,Gas6-72008122
3,4,3,3,0.0936431
3,4,7,7,0.08830321
0,0,7,7,0.085404046
3,4,7,7,0.08675117
1,1,1,12,0.04167404
1,1,1,12,0.036488395
1,1,1,12,0.04135332
0,0,0,8,0.07434103
0,0,7,7,0.08476482
3,4,7,7,0.08823941
3,4,3,3,0.098663814
3,4,7,7,0.089110784
3,4,7,7,0.087117426
0,0,7,7,0.08478103
3,4,7,7,0.09026144
1,1,1,1,0.0502973
1,5,4,10,0.060916077
1,5,4,10,0.0600716
0,0,0,0,0.07895458
3,4,7,7,0.0908356
3,4,3,3,0.09374159
3,4,3,3,0.09602968
0,0,7,0,0.08203951
3,4,7,7,0.09066512
0,0,7,7,0.084412456
3,4,7,7,0.090473086
1,5,4,10,0.059624817
0,0,0,8,0.07416885
0,0,0,8,0.07512523
0,0,7,0,0.0819378
0,0,7,7,0.08588982
3,4,7,7,0.09076789
0,0,7,0,0.08362495
3,4,3,3,0.0976339
3,4,7,7,0.08815336
3,4,3,3,0.0950836
0,5,0,4,0.06920121
1,5,4,10,0.06022549
0,5,4,4,0.06584996
0,5,0,8,0.0707737
0,0,7,0,0.08119858
0,0,0,8,0.076087706
0,0,7,0,0.08272601
3,4,3,3,0.093964666
3,4,3,11,0.10279506
0,0,0,8,0.072901025
1,5,4,10,0.0608393
1,5,4,10,0.061010778
0,0,7,7,0.08550792
0,0,0,8,0.07429634
0,0,7,0,0.08317436
3,4,3,3,0.097666696
0,0,0,8,0.0745578
3,4,3,3,0.09333441
0,0,7,0,0.08233581
3,4,3,3,0.096156746
0,0,7,7,0.08498244
3,4,7,7,0.0892292
0,0,7,0,0.08340209
0,5,0,8,0.0713443
3,3,6,11,0.11094097
3,4,7,7,0.08751184
0,0,7,0,0.08070908
1,5,4,10,0.060900655
0,5,4,4,0.067134745
0,0,0,8,0.07541805
1,1,1,1,0.051285975
1,1,1,1,0.053561755
3,4,3,11,0.10224603
3,3,6,11,0.107519396
3,4,7,7,0.08761893
0,0,0,0,0.07692166
0,5,0,8,0.07227589
0,0,7,0,0.0806325
0,5,4,4,0.06868584
0,0,0,8,0.07580482
0,5,0,8,0.07145093
0,0,0,0,0.07970954
1,1,1,1,0.0467355
1,1,1,1,0.043807615
0,0,0,0,0.07674117
0,0,7,7,0.084586
0,5,4,4,0.06724481
0,5,0,4,0.06902927
0,0,7,0,0.08338095
3,4,3,3,0.09505971
0,0,0,0,0.07895011
0,0,0,0,0.0800539
0,0,0,8,0.07307166
1,1,1,1,0.047433365
1,1,1,12,0.036806807
1,1,1,1,0.047936838
0,0,7,0,0.08187835
0,0,0,0,0.0799017
0,0,7,7,0.085095495
3,4,3,3,0.09614996
3,4,3,3,0.09961123
0,0,0,0,0.07983612
0,0,0,0,0.077726655
0,0,0,8,0.07595584
1,1,1,1,0.046170678
1,5,4,10,0.057521112
3,4,7,7,0.090814844
3,4,3,3,0.09764694
3,4,3,3,0.093606636
3,3,3,11,0.10630037
3,4,3,3,0.09814794
0,0,7,0,0.08096428
0,0,0,8,0.072503604
0,0,0,0,0.078061655
1,5,4,10,0.05739659
0,5,4,4,0.066929996
0,0,0,8,0.07449921
3,4,7,7,0.08814046
3,4,3,3,0.09764994
3,4,3,3,0.095916666
3,3,6,11,0.10742502
3,4,3,3,0.093646415
0,0,7,0,0.08303847
0,5,0,8,0.07013283
0,0,7,7,0.083733544
1,5,4,10,0.060200874
0,5,0,8,0.07236193
0,0,0,0,0.07843638
0,0,7,7,0.08539372
3,4,7,7,0.08883134
3,4,3,3,0.09634343
3,4,7,3,0.09162056
0,0,7,7,0.08478053
0,0,0,0,0.0767792
3,4,3,3,0.098001465
1,1,4,1,0.053812433
1,5,4,4,0.06423121
0,0,0,8,0.073235266
3,4,7,7,0.08726229
0,0,0,0,0.079665795
3,4,7,7,0.088671006
3,4,7,7,0.08947069
3,4,7,7,0.09099636
1,1,1,1,0.052947365
1,5,4,4,0.06330812
0,0,0,0,0.079763986
3,4,3,3,0.09838031
0,0,0,0,0.07825059
3,4,3,11,0.10099245
1,1,1,1,0.05285838
3,4,3,3,0.097933106
3,3,6,11,0.11108305
0,0,0,0,0.078653984
3,4,7,7,0.08932043
0,5,0,8,0.071388334
0,0,0,0,0.07680468
0,0,7,7,0.084619015
0,0,7,0,0.0804467
0,0,0,0,0.076779306
0,0,0,8,0.07303695
0,0,0,8,0.07519952
0,5,0,8,0.07107469
0,0,0,8,0.07264941
0,0,0,8,0.075726494
0,5,4,4,0.06576223
1,5,4,10,0.062062014
3,4,3,3,0.09528046
3,4,3,3,0.09940235
0,0,7,0,0.081308715
0,5,0,8,0.07211121
0,0,0,8,0.073405296
0,0,0,0,0.079910524
0,0,0,8,0.07627522
0,0,0,8,0.076235846
0,5,0,8,0.07100687
0,0,7,0,0.08084892
0,0,7,0,0.082014285
1,5,4,4,0.063249566
1,5,4,10,0.062305637
0,0,7,0,0.08105444
3,4,7,7,0.08817335
0,5,4,4,0.06796961
0,5,4,4,0.064508796
3,4,7,7,0.08951779
3,4,3,3,0.099124104
0,0,0,0,0.07972174
0,0,0,8,0.07586334
0,5,0,8,0.071098484
0,0,0,0,0.08027471
0,0,0,0,0.07896115
1,5,4,10,0.061015718
1,5,4,10,0.056370515
1,5,4,10,0.059774037
3,4,3,3,0.092391185
3,4,7,7,0.088490136
3,4,3,3,0.092019685
3,4,3,11,0.10023508
3,4,3,11,0.10132686
0,0,0,8,0.07599424
0,5,0,4,0.06907889
0,5,0,8,0.07026578
0,0,7,0,0.081777304
0,0,0,8,0.07341245
1,5,4,10,0.057992145
1,5,4,10,0.062212907
0,0,7,0,0.082324125
3,4,3,11,0.10282407
3,4,3,3,0.09881306
3,4,3,3,0.0923696
3,4,3,11,0.10095292
0,0,0,8,0.07548669
1,5,4,10,0.0616924
0,5,0,4,0.06904666
1,1,4,10,0.054512672
0,0,0,8,0.07646311
1,5,4,10,0.061132222
0,5,0,8,0.07232452
3,4,7,3,0.09167801
3,4,3,3,0.095193975
3,4,3,3,0.095024794
3,4,7,7,0.08845239
3,4,3,11,0.10088313
3,4,3,3,0.095748454
0,0,0,8,0.0765312
1,5,4,10,0.06193188
0,0,0,8,0.07646787
0,5,0,8,0.07183583
1,5,4,10,0.059545297
0,5,4,4,0.0660189
0,0,0,0,0.07779373
0,0,7,7,0.08529129
0,0,7,0,0.08306769
3,4,3,11,0.10143602
3,4,3,3,0.093628846
0,0,7,0,0.080926515
0,0,0,8,0.074909024
3,4,3,3,0.096371055
1,5,4,4,0.06363903
1,1,1,1,0.05036257
1,5,4,4,0.06300058
0,5,4,4,0.06840621
0,0,7,7,0.086432226
0,0,0,8,0.074237004
0,0,7,7,0.08523911
3,4,3,11,0.10304904
3,4,3,3,0.09701524
3,4,7,7,0.08961477
3,3,6,6,0.114774115
1,5,4,10,0.060543295
1,1,1,1,0.0511722
0,5,4,4,0.06872654
0,0,0,0,0.07862743
3,3,6,11,0.10880985
0,0,0,0,0.07796147
0,0,7,7,0.08438197
3,4,3,11,0.10035361
1,1,1,1,0.05102897
0,0,0,0,0.08028067
3,4,3,3,0.09604163
3,3,6,6,0.13110802
0,0,7,0,0.081414565
0,0,7,7,0.08411961
0,5,0,8,0.07194327
0,5,0,8,0.07165596
0,0,0,0,0.07710332
0,4,7,7,0.08649307
3,4,3,3,0.09637329
0,0,0,8,0.075089
0,5,4,4,0.065312356
0,4,7,7,0.086547874
0,0,0,0,0.07950925
3,4,7,7,0.09050132
0,0,7,0,0.08236614
3,3,3,11,0.10530613
0,5,0,8,0.07088034
0,5,4,4,0.065134175
0,5,0,8,0.07052345
0,0,0,8,0.07520533
0,0,7,0,0.08297012
3,4,7,7,0.09089581
0,0,7,0,0.08253772
0,0,0,0,0.079314135
0,0,0,8,0.07475343
0,0,7,7,0.08441101
1,5,4,10,0.058468178
1,5,4,10,0.058919366
3,4,3,3,0.09201399
3,4,3,11,0.10162547
3,4,7,7,0.08786982
0,0,7,0,0.08083733
0,0,0,0,0.07942539
0,0,7,0,0.08227558
3,3,6,6,0.11577107
0,0,7,0,0.080710076
0,0,0,0,0.076961756
0,5,0,8,0.07124048
3,4,3,3,0.093706414
0,0,7,0,0.08067371
3,3,3,11,0.10565198
3,4,3,3,0.09919077
0,0,0,0,0.07942281
0,0,0,8,0.07403931
0,0,0,0,0.076997004
0,0,0,8,0.076447986
3,4,3,3,0.09933283
0,0,0,8,0.073233314
0,0,0,0,0.079419315
3,4,7,7,0.09056823
3,4,3,3,0.09582059
3,4,7,7,0.09038813
3,4,3,3,0.094906725
3,4,3,11,0.103644125
3,4,3,3,0.09381241
0,0,0,8,0.07579768
0,5,4,4,0.06703935
0,0,0,8,0.07279951
0,0,0,0,0.07929203
0,0,0,0,0.07977985
0,5,4,4,0.066620514
0,0,0,8,0.07381407
3,4,3,3,0.09449013
3,4,7,7,0.08975107
0,0,7,0,0.08071565
3,4,7,7,0.0872538
3,4,3,3,0.09831031
0,0,0,8,0.07572802
0,5,4,4,0.06609931
0,0,0,0,0.07709857
0,0,0,0,0.0772774
1,5,4,10,0.062456436
0,5,4,4,0.06760037
0,0,0,0,0.07889999
0,0,0,0,0.07964342
0,0,0,8,0.07616909
0,0,7,7,0.08486068
3,4,3,11,0.10203111
3,4,3,3,0.096621476
0,5,4,4,0.06800409
0,0,0,8,0.07257112
0,0,7,0,0.0820871
0,0,0,8,0.07501973
3,3,3,11,0.10660894
3,4,3,3,0.09413738
0,0,7,7,0.08546825
0,5,0,4,0.06968141
3,4,3,11,0.10319527
0,0,0,8,0.073347084
0,0,0,8,0.07557914
3,4,3,3,0.0945731
0,0,7,0,0.08204881
3,3,6,6,0.12112382
0,0,0,8,0.07346829
1,5,4,10,0.062157188
1,5,4,10,0.0564628
0,5,4,4,0.067775175
3,4,7,3,0.09137821
3,4,3,11,0.100812495
3,4,7,7,0.089158945
3,4,3,11,0.10049518
0,0,7,0,0.080597654
0,5,4,4,0.06691132
0,0,0,8,0.07331003
3,4,3,3,0.09297816
3,3,6,11,0.10858425
0,0,7,0,0.082915045
0,0,0,8,0.07610156
0,0,7,0,0.08154274
1,5,4,10,0.05621808
0,5,4,4,0.0664512
1,5,4,10,0.06114243
3,4,7,3,0.09151397
3,4,3,11,0.10279801
3,4,3,11,0.103427336
3,4,3,3,0.09715726
3,4,7,7,0.08951427
3,3,6,6,0.11496468
0,0,7,0,0.08305082
3,4,3,3,0.09274568
0,5,0,8,0.07182204
0,0,7,0,0.0815717
0,5,4,4,0.06695787
0,0,7,7,0.08530524
3,4,3,11,0.10398865
3,4,3,3,0.09919622
3,4,3,3,0.093330614
3,4,3,3,0.09271297
3,4,7,7,0.0891606
3,3,6,11,0.11113931
0,0,7,0,0.08205394
3,4,7,7,0.08986147
3,4,7,3,0.09146139
3,4,3,3,0.094091296
0,0,7,0,0.08247714
3,4,7,7,0.090064056
3,4,3,3,0.0971035
3,4,7,7,0.087905474
0,0,7,7,0.084600054
0,0,7,7,0.08384337
3,4,7,7,0.0893362
0,5,0,8,0.07054418
0,0,0,8,0.07418487
3,4,7,7,0.08866209
3,4,7,7,0.08931204
0,0,0,0,0.080189385
0,0,7,7,0.08584336
0,0,0,0,0.07995335
0,0,0,8,0.07559136
0,0,7,7,0.08389793
0,0,7,7,0.085842066
0,0,0,8,0.07291453
0,0,0,8,0.074493095
0,0,7,0,0.08079543
0,0,7,0,0.08039893
0,0,7,0,0.08301006
0,0,0,8,0.07525208
3,4,3,3,0.09261078
0,0,0,0,0.07722333
1,5,4,10,0.05973168
0,5,0,8,0.071214676
0,0,0,0,0.07720185
0,0,0,0,0.07768854
0,0,7,0,0.080350846
0,5,0,8,0.07133341
0,0,7,0,0.08303479
0,0,0,0,0.07807898
0,0,7,0,0.08193591
3,4,3,3,0.09690512
1,1,1,12,0.041265026
1,5,4,10,0.058300737
0,5,0,4,0.06886408
0,0,7,0,0.08082113
0,5,0,4,0.068846
1,1,1,1,0.053558342
1,5,4,10,0.058630675
1,1,1,1,0.05012381
0,5,0,8,0.071539715
0,0,7,0,0.08150049
3,4,7,7,0.09065906
3,4,3,3,0.09307918
3,4,7,7,0.09002038
3,3,6,6,0.113878176
3,3,6,6,0.11481549
3,4,3,3,0.092227235
3,3,6,11,0.108060576
3,3,6,6,0.115808345
3,4,3,3,0.0942691
3,4,3,3,0.09294815
0,0,0,0,0.07739804
0,0,7,0,0.08310012
0,5,0,8,0.071522385
0,0,7,0,0.081838
3,4,3,11,0.10373937
3,3,6,6,0.1127874
0,0,0,0,0.077553
0,5,4,4,0.06583124
0,0,7,0,0.08145161
3,4,3,11,0.10158379
3,4,3,11,0.10360988
0,5,0,8,0.07134483
0,0,7,0,0.08147492
0,0,7,7,0.08523878
0,0,7,7,0.083883785
3,4,3,3,0.09748975
3,4,7,7,0.08871502
0,0,0,8,0.07453699
0,0,0,8,0.07372559
1,5,4,10,0.05892952
0,0,0,8,0.074050665
0,0,7,7,0.08531763
0,0,0,8,0.07271493
0,0,0,0,0.076813534
0,5,0,8,0.0719316
1,5,4,10,0.05849517
1,5,4,10,0.057549648
0,5,4,4,0.06480486
1,1,1,1,0.0438918
1,5,4,10,0.06256415
0,0,0,0,0.077806726
3,4,3,3,0.09333432
1,1,1,12,0.043029066
1,1,1,12,0.031463165
