cluster,number of voxels,number of voxels (%),structure 136
0,98,27.92022792022792,98
1,43,12.250712250712251,43
2,74,21.082621082621085,74
3,77,21.937321937321936,77
4,39,11.11111111111111,39
5,20,5.698005698005698,20
