cluster,number of voxels,number of voxels (%),structure 136
0,41,11.68091168091168,41
1,17,4.843304843304843,17
2,26,7.4074074074074066,26
3,45,12.82051282051282,45
4,17,4.843304843304843,17
5,31,8.831908831908832,31
6,16,4.5584045584045585,16
7,15,4.273504273504273,15
8,45,12.82051282051282,45
9,21,5.982905982905983,21
10,38,10.826210826210826,38
11,9,2.564102564102564,9
12,30,8.547008547008547,30
