cluster,number of voxels,number of voxels (%),structure 136
0,84,23.931623931623932,84
1,34,9.686609686609685,34
2,49,13.96011396011396,49
3,63,17.94871794871795,63
4,39,11.11111111111111,39
5,45,12.82051282051282,45
6,18,5.128205128205128,18
7,19,5.413105413105413,19
