cluster,number of voxels,number of voxels (%),structure 773,structure 136,structure 1098,structure 939,structure 970,structure 235,structure 143,structure 978,structure 1107,structure 852,structure 661,structure 307,structure 1048
0,350,23.890784982935152,1,166,54,4,0,0,2,9,30,72,0,0,12
1,62,4.2320819112627985,0,2,0,0,0,0,0,32,0,0,21,7,0
2,274,18.703071672354948,0,56,0,0,0,0,0,0,11,29,34,11,133
3,97,6.621160409556313,36,18,0,0,8,1,1,8,16,2,0,6,1
4,136,9.283276450511945,10,13,0,0,17,0,1,31,9,14,7,13,21
5,230,15.699658703071673,1,55,3,2,0,0,2,7,57,56,3,0,44
6,155,10.580204778156997,0,41,0,0,5,0,0,0,3,17,5,0,84
7,161,10.98976109215017,0,0,0,0,0,0,1,28,0,6,28,53,45
